milage,model_year,price
38012,2021,45277
2500,2023,91000
11078,2021,91900
50000,2018,65000
58000,2019,38000
3415,2023,54998
61000,2018,65000
48500,2019,43500
65680,2018,34900
44362,2020,50658
18603,2019,42900
35999,2020,59598
8044,2021,93000
9738,2016,85500
112000,2009,28000
167300,2009,6250
115,2022,449995
71000,2015,35999
31015,2020,36570
33000,2022,29999
63000,2017,20000
68325,2013,11995
20937,2020,104900
34365,2021,48000
32000,2018,44900
40237,2020,36998
22500,2020,50000
58700,2020,48999
264893,2006,5000
209500,2005,8500
195,2023,87500
120000,2016,19500
14676,2022,33000
33704,2021,42998
2950,2023,87000
17994,2021,87500
44101,2020,45423
25918,2021,32000
87000,2008,15300
28333,2018,20500
29294,2018,39999
37000,2008,14995
138000,2005,9950
44487,2020,65000
16878,2021,38781
30177,2022,46598
53000,2021,67100
61308,2021,42000
99200,2013,11495
32117,2022,33299
79341,2013,16800
220000,2007,5750
16900,2021,43000
75137,2007,24999
37594,2021,62595
250,2023,94000
12771,2021,42598
6400,2012,48000
69548,2021,36300
79893,2009,15900
124838,2014,33000
14353,2020,63900
22985,2022,33500
161894,2014,18900
25025,2008,39000
16701,2017,107998
19650,2017,69250
29500,2020,45000
132272,2007,6700
122000,2012,13500
18185,2022,31755
56450,2018,13999
102000,2012,4200
18428,2022,83998
535,2023,65990
81648,2013,15900
138202,2003,22550
69600,2004,37900
39900,2018,53600
36500,2021,85000
42650,2018,31990
68816,2020,35297
91188,2016,29995
116210,2015,31900
3077,2022,44998
3880,2024,52991
67482,2017,11499
67726,2018,52000
207000,2008,10500
35550,2021,25987
44000,2016,46599
11249,2015,54500
111650,2014,17500
18526,2019,67999
103272,2012,15500
1160,2023,73600
107714,2019,34918
111773,2013,17000
54002,2019,22500
87000,2016,13000
49700,2016,31700
34500,2017,64600
31729,2021,29614
7388,2021,43663
41550,2017,20995
44486,2018,25625
20750,2013,33000
12000,2022,41000
14206,2021,98000
31700,2022,43500
13044,2022,24999
100730,2009,6975
5338,2023,76500
85149,2014,23598
48291,2018,67250
111887,2001,14000
79000,2010,69000
125000,2016,26500
13777,2022,39777
14920,2022,41741
14627,2022,56740
90050,2010,5800
45000,2014,25000
89900,2006,29994
14724,2021,101998
132000,2011,10999
32652,2010,6500
36632,2018,72567
11164,2022,37500
22655,2020,63999
9500,2019,135000
10300,2021,29900
48000,2018,54000
138000,2007,10000
24058,2022,81900
31500,2016,67000
19701,2020,55998
10200,2022,50500
62378,2008,33995
84200,2006,10200
138700,2013,18800
41050,2021,62900
39192,2020,24590
7758,2022,47998
31654,2021,33410
63000,2017,42000
257700,2005,3550
57000,2017,29500
89000,2017,29999
134500,2015,28000
15895,2022,47950
15109,2020,162950
398,2022,695000
20319,2022,44249
40906,2021,51998
33749,2020,85998
1120,2023,92900
26088,2021,38383
14950,2022,24000
47466,2018,14699
10376,2022,98900
18500,2021,41950
24596,2021,38322
2905,2021,27599
71290,2015,21000
15000,2022,63000
37900,2017,22000
2000,2022,244896
32500,2019,43500
61491,2003,28000
77634,2013,24590
83000,2015,18999
121800,2002,4300
65852,2020,68998
1335,2023,272950
83315,2014,15000
18421,2019,85000
101000,2015,16500
29322,2022,44999
23900,2019,35999
40515,2016,47999
67516,2020,36994
155000,2010,8300
26998,2019,35557
18500,2018,115000
137600,2009,6880
125500,2005,3950
22039,2019,113990
137483,2011,3200
67500,2019,40500
52000,2020,53722
10000,2006,259000
195361,2017,26000
32500,2018,103000
14806,2019,81330
11000,2022,48950
92530,2011,18500
34845,2017,30000
16280,2018,85500
77000,2011,32000
63000,2010,38500
39700,2016,25500
103111,2013,9200
75897,2019,35998
55000,2017,34000
114000,2005,13450
80124,2011,17500
7000,2023,144900
4285,2023,65688
17175,2019,234900
34049,2017,37999
16000,2019,39990
59355,2020,72995
31000,2022,36000
19300,2019,36000
155000,2009,16900
120010,2010,6500
152520,2012,10900
32000,2005,2954083
47000,2015,50000
2046,2023,43499
24965,2021,22995
108000,2005,7850
76000,2015,18300
30000,2014,78500
59271,2015,29900
1500,2023,119500
52500,2017,24950
23100,2020,36495
45000,2017,22500
179000,2002,6500
1500,2023,84900
38671,2022,66998
135465,2007,15750
79000,2014,17000
42259,2012,17000
159890,2006,6500
2200,2023,75000
15833,2022,52000
96000,2013,13500
72900,2009,15500
7121,2021,94998
3402,2023,44000
73000,2013,13900
21000,2018,51000
30309,2021,63598
24000,2021,38000
73000,2016,23999
26465,2019,24998
26870,2020,34645
184000,2004,10500
4514,2022,132998
1300,2022,48000
49924,2018,26500
36526,2019,57850
37000,2015,45950
79884,2017,24840
30000,2016,19000
11102,2021,101000
105500,2012,19000
31157,2019,65998
86204,2019,20708
80211,2014,17995
25991,2010,69995
73000,2008,8400
40989,2018,35000
102681,2010,6000
123000,2010,13888
160900,2005,7200
105000,2011,21900
1340,2023,41000
17850,2021,41999
72277,2011,34950
7000,2023,46000
10627,2022,99000
67015,2020,28590
19600,2018,62000
5800,2022,42500
33812,2017,14999
99897,2015,26950
127500,2014,29000
23842,2021,59203
2108,2023,91000
65550,2014,39985
22000,2017,210000
15600,2022,68995
22400,2021,81900
89150,2015,31900
15000,2023,81000
49500,2018,25000
126000,2003,13850
85385,2015,15550
3000,2023,123999
66126,2018,19190
1075,2023,35000
2489,2023,98900
25000,2021,28500
92000,2017,20900
123500,2008,14500
105000,2013,12000
49000,2008,63000
28357,2020,47598
81000,2018,32000
45000,2021,52000
173456,2011,16000
13700,2021,60000
93400,2019,42500
90000,2015,18200
40600,2017,32000
20121,2023,47124
3921,2020,175000
187450,2011,10400
6400,2021,68000
54500,2017,37995
78500,2017,42000
75000,2018,36000
89988,2014,42500
107000,2005,7100
21400,2019,28500
83150,2007,6950
92000,2018,36500
15042,2021,54599
39000,2017,35000
67483,2017,46500
62089,2015,29975
54300,2017,53500
30565,2022,29000
142666,2016,22000
166200,2009,6999
88977,2015,19977
114890,2011,20990
171000,2009,4750
90067,2019,28590
97579,2014,15000
52000,2017,20500
25968,2021,38405
41680,2016,17495
77200,2002,7500
50000,2019,43000
21613,2021,58998
17377,2022,39998
30426,2020,29645
153000,2005,6500
56600,2004,23000
116612,2015,12700
72000,2018,30000
39000,2019,50000
149000,2008,10099
19300,2018,64000
27836,2021,36969
3273,2023,78999
74349,2017,36000
85000,2019,55000
2250,2022,259500
46100,2017,33000
49500,2019,28000
31130,2012,23500
149460,2008,12240
90000,2003,15500
48000,2021,57000
98000,2013,15500
18655,2022,38698
60000,2006,24950
169500,2014,15000
189500,2008,6000
91000,2016,68500
7396,2022,41299
229450,2004,8250
8603,2023,125900
49098,2014,44900
21212,2022,28906
62743,2010,28600
24300,2021,49999
104000,2010,19500
46250,2020,27800
1930,2023,40655
61494,2022,35850
24040,2020,35273
231581,2001,4300
81000,2019,38500
23568,2022,44998
78700,2020,18000
109580,2015,11900
178000,2009,4500
131193,2016,11970
106000,2017,25900
28211,2019,27500
91403,2015,14998
88600,2016,16800
84900,2011,22450
11154,2021,28998
45090,2018,30750
33272,2003,11900
71000,2003,12499
55400,2020,36500
141525,2012,14490
50000,2007,21900
29140,2020,71995
9000,2022,56900
5595,2021,83598
34121,2022,48190
36750,2013,35999
49626,2007,12000
45000,2017,16500
69350,2019,36000
8307,2022,98900
4106,2023,84645
57500,2018,41900
29000,2021,39650
61675,2015,19000
33300,2021,45000
62950,2014,17498
56675,2015,19750
92000,2013,23000
96000,2005,12000
33500,2014,23000
16754,2020,112000
53249,2007,9250
119000,2016,12500
29336,2021,36999
86000,2017,41000
177000,2014,40500
93500,2013,15900
47700,2018,54999
97496,2003,24500
16120,2022,26599
147589,2005,2800
95570,2013,22000
45791,2018,52000
60000,2016,25950
50000,2019,18795
33481,2019,43999
107000,2010,5900
60000,2011,37000
55000,2016,28000
4004,2022,25500
57800,2009,59400
10972,2022,217950
27858,2022,197750
31678,2018,106798
47144,2016,29950
165454,2011,4000
98000,2018,25500
39913,2020,22749
147191,2013,12990
53600,2014,25980
100100,2010,17000
1750,2020,199995
2750,2020,104500
40800,2013,35500
36798,2018,49500
77699,2021,49883
87500,2010,14900
93000,2020,38500
41515,2018,28251
19000,2019,33242
1539,2023,76373
31090,2018,68000
21701,2022,25099
97726,2016,15998
73000,2015,34000
23600,2020,31900
8755,2016,166900
20500,2019,67900
57912,2013,18750
35000,2009,18500
7089,2023,29895
35469,2019,30890
14676,2022,46787
13750,2022,79999
13300,2015,62500
117000,2017,27000
27100,2020,50000
89352,2017,20989
100000,2018,8500
16000,2020,75500
15200,2023,62999
39960,2012,38995
119000,2008,13500
10971,2022,29998
118500,2014,11500
8288,2021,45899
2950,2023,74500
73000,2017,78000
82000,2005,14900
7874,2019,38999
49105,2017,39750
5500,2023,40000
36700,2005,26000
40000,2014,34000
78110,2017,17500
74864,2015,19780
15350,2021,93500
46100,2010,72999
61454,2018,31000
45241,2020,54500
48000,2018,27000
68500,2010,18500
43433,2019,51899
122961,2005,20995
92861,2014,19750
72000,2016,21400
6929,2019,649999
83000,2003,10500
18031,2021,39599
8200,2023,78900
19000,2020,74900
12875,2022,42599
32000,2015,36000
61145,2013,37500
9612,2022,43900
3534,2023,143998
152000,2011,14000
129567,2012,7000
36000,2019,41995
92008,2009,12500
150900,2012,17500
43000,2019,50000
38020,2018,63998
14750,2021,61059
52500,2015,23000
207571,2017,21000
39000,2020,29900
66000,2011,28000
93500,2017,16000
7200,2018,64000
1220,2022,238900
8421,2023,90000
25520,2020,84900
30554,2020,41999
17000,2023,54900
41314,2011,30999
49899,2020,64500
186268,2012,4500
51335,2016,25995
10400,2019,99750
20622,2020,142998
19376,2022,45861
12245,2020,187900
77000,2006,57000
40000,2013,24000
113000,2012,10000
7600,2022,46000
20400,2022,29900
115000,2019,39000
239000,2012,7000
62194,2014,32998
22138,2020,38598
48900,2017,62500
21800,2014,117000
68200,2016,16750
139000,2001,7000
76100,2021,130000
14330,2022,54998
41906,2019,45999
164000,2016,21500
161933,2013,7945
22829,2022,34580
5483,2023,59950
46891,2020,31000
72000,2019,39000
3400,2020,129900
18000,2021,30000
30630,2021,39998
24985,2007,33580
9978,2023,93999
18500,2018,77999
72843,2021,79990
67500,2017,20000
43534,2020,65990
36900,2017,28500
61720,2017,39998
35938,2022,43329
10748,2023,63100
4457,2023,107900
108206,2018,26498
32705,2020,46598
74026,2020,32913
24651,2020,45950
13000,2022,69000
11700,2023,133500
77500,2015,54000
82000,2007,7999
1389,2017,489995
29830,2021,55329
83100,2016,17800
62660,2019,16500
56006,2018,59000
31365,2021,52998
27600,2004,14900
47245,2012,19600
73948,2017,31990
36757,2019,31953
4786,2023,48000
1900,2023,78900
52060,2014,15000
58000,2008,41500
52246,2010,26095
64290,2016,16999
37500,2009,21500
2121,2023,40750
57000,2013,26000
22000,2020,69500
2000,2023,66500
61802,2018,32000
73000,2010,17500
110000,2013,7500
106700,2013,13500
75965,2013,35999
31804,2022,48995
116320,2005,6000
156875,2011,9900
197,2023,85000
35200,2020,28500
76000,2014,19000
29000,2019,34500
33499,2019,44495
25779,2019,30999
76296,2015,9500
29553,2014,12800
109902,2011,4500
23083,2019,33500
143600,2003,4199
22000,2021,54800
13000,2022,81500
53000,2018,28000
44741,2019,52999
202000,2008,5700
215000,2006,6995
77138,2019,49998
90641,2018,25999
177702,2011,7700
58350,2018,29497
86170,2010,17000
36568,2012,20199
54357,2015,16250
20394,2015,59598
7578,2023,31113
64800,2010,20900
117780,2016,27750
33100,2019,18200
86202,2016,18750
163000,2012,19550
35400,2004,24900
31000,2018,22000
103069,2018,40998
22480,2021,135800
91000,2016,39500
41500,2010,44800
91545,2010,13000
4100,2022,162500
110000,2006,5000
88000,2016,18500
42833,2018,37000
23278,2020,114998
60100,2015,24995
17381,2022,69685
63172,2013,12995
72000,2010,10900
4820,2022,47500
67900,2014,25990
51000,2018,38000
54500,2013,35000
61840,2006,16500
28950,2006,16750
300000,2002,5000
103400,2011,17000
816,2023,109900
719,2016,489000
3678,2023,81998
107000,2016,22000
5018,2022,114998
13850,2010,71400
46700,2008,11400
21478,2021,27798
64200,2020,20499
31075,2006,36250
25250,2022,47800
35400,2020,71950
74030,2004,16000
48549,2021,69998
5182,2023,32500
31681,2019,33500
23430,2020,80998
30300,2015,29000
112000,2016,14599
127356,2014,19990
50600,2017,28890
194000,2011,9950
33455,2021,44750
43000,2022,35750
46102,2016,35300
59000,2019,21000
134000,2004,9500
3715,2020,150000
100245,2012,24000
8583,2022,42999
141800,2003,5700
77000,2012,13800
67035,2018,31500
61450,2012,19500
39500,2015,52590
6600,2020,128900
2300,2023,51500
10601,2023,61998
18000,2018,67000
31681,2022,67963
24114,2020,49427
22109,2022,43389
148000,2012,18000
41000,2018,60200
127600,2009,19500
138450,2005,19000
230000,2013,15500
53649,2017,33000
174000,2012,11999
49860,2022,47645
13650,2021,75000
134000,2016,13500
78000,2014,68000
65750,2005,21750
18000,2021,94000
121630,2007,9450
4500,2023,89999
9408,2022,61999
120000,2016,16000
168600,2016,29500
43705,2004,25900
111000,2013,11500
64549,2012,17000
53000,2007,6500
13465,2017,44900
5844,2023,52000
74000,2015,40000
100331,2011,6900
24850,2022,53568
17467,2021,43860
115000,2015,11995
72000,2015,26500
162000,2008,6500
47589,2017,45500
6548,2023,41999
10339,2018,36990
32092,2021,35113
85275,2014,23998
138000,2016,10990
87500,2003,16999
34920,2013,38900
27224,2020,65999
25000,2018,52000
14642,2021,48500
162000,2015,13999
101800,2017,36500
84351,2021,42691
26930,2012,6700
40698,2019,42886
40000,2020,112500
30000,2019,29000
78980,2007,10600
28844,2007,69995
21028,2020,96900
5409,2023,88950
12700,2020,69900
19000,2021,25900
12000,2019,48000
25717,2016,33900
12055,2022,44400
69700,2011,23000
25013,2020,55000
1156,2023,54900
57939,2016,27500
52694,2018,49999
54000,2015,37000
110500,2002,27000
97500,2000,10000
20909,2020,35387
77648,2013,40000
79422,2013,64000
53850,2002,16900
21832,2020,42000
41932,2017,18700
110000,2017,34999
67400,2020,47500
62662,2017,24000
102000,2015,18000
79785,2014,16488
166549,2017,24950
190656,2006,8900
7928,2016,37500
135606,2009,15000
14700,2023,39900
12985,2019,96000
4200,2014,64995
44000,2017,23500
66000,2015,12000
17945,2021,89900
106700,2013,17500
120000,2020,55000
59600,2012,19900
117220,2012,8900
85200,2022,67500
63450,2018,24325
73000,2004,22500
115000,2014,11495
56000,2016,49900
67296,2018,40900
179200,2015,16000
28000,2015,44999
155000,2003,55000
154000,2012,8500
62500,2012,18955
177700,2000,2500
83700,2019,26000
65000,2012,21500
62808,2018,38598
3000,2021,49500
119000,2012,12000
198868,2013,25000
188000,2011,8500
157405,2013,10750
8228,2016,62500
73101,2018,42950
10950,2018,60995
63160,2018,47000
31866,2019,68900
75000,2009,18900
98000,2016,36000
33576,2012,18900
123200,2012,12449
112000,2013,8800
68000,2010,19500
120000,2012,14500
45000,2019,46999
6700,2022,39500
6785,2021,108900
40900,2015,59750
74150,2018,45000
94448,2014,15999
108000,2015,19998
118000,2012,17000
38800,2020,57500
55000,2017,40000
34967,2021,49999
85325,2016,30000
63750,2018,36000
87248,2016,19999
112854,2011,11999
1150,2023,96850
10000,2023,48000
14100,2022,53000
14360,2023,85495
10000,2023,32000
217500,2015,20000
73846,2021,60995
40000,2020,45000
9980,2023,82000
41997,2019,24995
2000,2021,39000
42750,2016,22999
19473,2019,31698
35340,2019,23000
93000,2008,12000
66150,2014,47995
19352,2022,54599
81000,2020,64800
183000,2011,16000
44000,2004,24999
18100,2021,51800
40000,2011,20000
120000,2011,31999
325,2023,84997
55000,2017,39100
6987,2021,749950
48500,2019,44999
52000,2018,50000
179000,2007,17900
42626,2019,42000
65900,2018,34700
7523,2022,54543
34365,2019,59598
16949,2021,24995
7968,2022,104999
61000,2018,57500
100564,2018,23105
13700,2022,39500
38612,2021,42242
155000,2005,7995
56000,2017,35750
15107,2022,114900
44459,2022,22945
31000,2017,38000
44000,2012,22222
22558,2018,47645
116157,2003,14250
23500,2018,50000
28150,2008,31000
137500,2016,29500
2284,2021,157500
350,2023,195000
169000,2017,13000
17761,2018,243900
8949,2010,30000
25108,2020,66000
103000,2016,33999
87600,2003,32000
1087,2022,279000
76753,2015,15999
10500,2019,79500
199000,2011,9250
127980,2007,9999
16307,2023,71400
13566,2021,57900
22588,2022,52598
41452,2019,22500
57500,2019,32990
500,2020,70000
55000,2014,30000
8210,2021,55000
18160,2021,46850
4279,2013,70000
39748,2013,54995
65000,2013,20500
59000,2016,25000
22700,2022,47000
56578,2018,20900
153332,2010,10000
89700,2013,17999
118600,2002,5230
23400,2021,52000
110000,2015,29000
87888,2008,11990
73800,2015,26999
78124,2015,21500
91000,2015,19000
114000,2003,10700
76000,2015,21000
146500,2008,30000
26021,2007,53999
73000,2015,17200
153000,2009,8700
67550,2003,30000
170000,2004,8500
53000,2017,47500
54900,2019,48500
89000,2016,24000
6200,2022,49000
51808,2021,42388
89000,2013,12500
45203,2018,39853
14739,2022,61900
139105,2017,17550
45014,2010,109499
101000,2011,18500
93000,2016,30000
62500,2013,16000
75000,2008,29000
34455,2015,28000
130000,2010,15500
76170,2014,16500
194500,2010,9500
135000,2008,5699
33000,2021,26999
98700,2010,10340
72900,2018,35500
135000,2016,20000
2550,2022,60000
35289,2020,35470
14636,2022,46599
24847,2005,13046
29558,2019,25884
6581,2023,59900
22000,2020,83999
68200,2017,15750
2800,2023,175000
51300,2019,48295
133500,2008,18500
49000,2012,19900
125470,2008,8000
81219,2008,8500
19500,2019,25000
20561,2017,105000
33655,2016,62900
135140,2015,23500
73000,2015,17999
55000,2017,58000
87000,2013,10000
137825,2006,4000
184421,2008,5000
95000,2015,14900
26468,2022,27875
55050,2003,34995
54200,2021,23800
109762,2002,15000
92080,2012,14500
1798,2023,53000
167500,2006,14500
2500,2023,84000
77000,2016,24000
19850,2019,24000
3400,2023,57000
3596,2021,56900
130200,2009,28900
48200,2017,24998
183544,2016,22000
14900,2016,39000
4200,2022,65994
15698,2012,19000
1750,2022,65500
34800,2022,46000
35580,2020,46998
71400,2006,14990
9260,2003,22000
28500,2023,67800
91900,2008,8900
130000,2004,7500
56860,2013,21995
44300,2017,20784
120000,2014,20000
72500,2013,31450
72000,2017,24200
132000,2011,11000
7585,2018,599000
18500,2022,42000
42000,2002,15999
4624,2023,56998
106000,2006,19500
13610,2022,27450
16876,2019,209900
8911,2023,77430
48641,2021,43666
11250,2021,70250
126000,2007,9000
77750,2008,21000
27363,2020,35000
30951,2019,80140
208,2023,89000
20386,2021,32999
45253,2018,24995
144000,2016,18400
76163,2004,20500
61300,2015,20150
35698,2017,8750
27000,2010,22500
162000,2015,11500
77800,2008,28500
55000,2014,19250
12000,2022,65999
70579,2017,42250
107000,2010,17500
42653,2021,38998
193783,2008,10000
123000,2014,18000
130000,2011,7000
143346,2009,3000
112465,2015,11995
5121,2023,28196
137273,2012,11000
299,2023,92500
70780,2018,35700
55000,2018,37900
23151,2017,84500
152000,2013,8500
23344,2020,36999
87092,2016,19500
90625,2004,5500
44373,2021,36000
26000,2021,37000
20760,2018,55500
39102,2021,51798
39615,2019,28900
58000,2019,36500
148000,2013,10000
104000,2011,20900
46150,2013,17000
18860,2022,74500
28399,2017,55600
95170,2005,24900
95450,2006,42000
7652,2022,39998
169000,2011,10999
16744,2022,46999
1025,2020,299000
152000,2004,7999
46000,2020,54999
8000,2022,85000
14770,2016,254900
84421,2016,36800
4760,2022,229000
44691,2021,56900
11700,2022,33000
